Name                  ;Cns ;Coordinates               ;Wv   ;Typ   ;    Diam;   Dist;    pmRA;    pmDe;    RV  ; Reference           ;Aliases
HD 224803 Grp         ;And ;00 00 13.0 +36 41 24      ;Op   ;***   ;   22.00;       ;        ;        ;        ; GDR2_Rej            ;
Riddle 9              ;And ;00 03 37.0 +48 22 20      ;Op   ;***   ;    0.80;       ;        ;        ;        ; GDR2_Rej            ;
HD 110 Grp            ;And ;00 07 31.0 +40 31 12      ;Op   ;***   ;   54.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 447               ;And ;00 10 23.0 +44 02 21      ;Op   ;***   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
GSC 3251-1406 Grp     ;And ;00 12 25.0 +48 02 24      ;Op   ;***   ;    8.00;       ;        ;        ;        ; GDR2_Rej            ;Saloranta J0012+4802
HD 1202 Grp           ;And ;00 16 48.0 +29 23 00      ;Op   ;***   ;   21.00;       ;        ;        ;        ; GDR2_Rej            ;
Lovro 2               ;And ;00 22 06.0 +24 49 00      ;Op   ;***   ;   18.00;       ;        ;        ;        ; GDR2_Rej            ;
TC 0027+4636          ;And ;00 27 31.0 +46 36 30      ;Op   ;***   ;   17.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 481               ;And ;00 28 56.2 +43 16 44      ;Op   ;***   ;   13.20;       ;        ;        ;        ; GDR2_Rej            ;
FSR 483               ;And ;00 29 07.0 +43 15 11      ;Op   ;***   ;    2.30;       ;        ;        ;        ; GDR2_Rej            ;
TC 0032+4328          ;And ;00 32 59.0 +43 28 30      ;Op   ;***   ;   71.00;       ;        ;        ;        ; GDR2_Rej            ;
32 And Grp            ;And ;00 40 47.0 +39 29 24      ;Op   ;***   ;   17.00;       ;        ;        ;        ; GDR2_Rej            ;
Monti 2               ;And ;00 42 48.0 +39 24 36      ;Op   ;***   ;   14.00;       ;        ;        ;        ; GDR2_Rej            ;SAO 54105 Grp
SAI 10                ;And ;00 43 03.2 +41 37 21      ;Op   ;***   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
Monti 3               ;And ;00 44 44.0 +39 43 30      ;Op   ;***   ;   13.00;       ;        ;        ;        ; GDR2_Rej            ;
Foldvari 57           ;And ;00 47 27.0 +26 14 00      ;Op   ;***   ;    6.00;       ;        ;        ;        ; GDR2_Rej            ;
MWSC 5533             ;And ;00 48 23.3 +41 36 00      ;Op   ;***   ;   19.20;       ;        ;        ;        ; GDR2_Rej            ;
Prestgard 29          ;And ;00 48 43.0 +45 18 42      ;Op   ;***   ;    2.00;       ;        ;        ;        ; GDR2_Rej            ;
Prestgard 27          ;And ;00 50 22.0 +44 59 28      ;Op   ;***   ;    5.00;       ;        ;        ;        ; GDR2_Rej            ;
Prestgard 28          ;And ;00 50 25.0 +44 42 38      ;Op   ;***   ;    2.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 518               ;And ;00 51 14.4 +44 17 06      ;Op   ;***   ;   24.00;       ;        ;        ;        ; GDR2_Rej            ;
NGC 272               ;And ;00 51 26.0 +35 49 18      ;Op   ;***   ;    5.00;       ;        ;        ;        ; GDR2_Rej            ;
Saillon 1             ;And ;00 57 14.0 +35 08 00      ;Op   ;***   ;   33.00;       ;        ;        ;        ; GDR2_Rej            ;Vastagh 11
SAI 12                ;And ;01 04 24.1 +45 36 25      ;Op   ;***   ;    4.00;       ;        ;        ;        ; GDR2_Rej            ;
HD 7267 Grp           ;And ;01 12 27.0 +41 06 24      ;Op   ;***   ;   31.00;       ;        ;        ;        ; GDR2_Rej            ;
Zannin 1              ;And ;01 12 30.0 +36 00 00      ;Op   ;***   ;    5.00;       ;        ;        ;        ; GDR2_Rej            ;
TC 0119+4315          ;And ;01 19 08.0 +43 15 00      ;Op   ;***   ;    3.20;       ;        ;        ;        ; GDR2_Rej            ;GSC 2812-1942 Grp
MWSC 5558             ;And ;01 22 42.5 +37 57 54      ;Op   ;***   ;   19.20;       ;        ;        ;        ; GDR2_Rej            ;
Webb 3                ;And ;01 24 26.0 +39 02 30      ;Op   ;***   ;    4.00;       ;        ;        ;        ; GDR2_Rej            ;HD 8481 Grp
FSR 560               ;And ;01 27 59.3 +44 09 18      ;Op   ;***   ;   18.00;       ;        ;        ;        ; GDR2_Rej            ;
HD 8907 Grp           ;And ;01 28 50.0 +42 31 48      ;Op   ;***   ;   33.00;       ;        ;        ;        ; GDR2_Rej            ;Santa 35
SAO 54746 Grp         ;And ;01 30 39.0 +34 08 12      ;Op   ;***   ;    5.00;       ;        ;        ;        ; GDR2_Rej            ;Saloranta J0130+3408
Foldvari 79           ;And ;01 32 46.0 +46 23 00      ;Op   ;***   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
HD 9519 Grp           ;And ;01 34 23.0 +42 18 18      ;Op   ;***   ;   24.00;       ;        ;        ;        ; GDR2_Rej            ;
El Kanbi-Prestgard 11 ;And ;01 38 10.0 +44 52 10      ;Op   ;***   ;   12.00;       ;        ;        ;        ; GDR2_Rej            ;
Foldvari 1            ;And ;01 43 41.0 +48 23 06      ;Op   ;***   ;   30.00;       ;        ;        ;        ; GDR2_Rej            ;
Alessi J0146+4247     ;And ;01 46 04.0 +42 46 58      ;Op   ;***   ;   56.00;       ;        ;        ;        ; GDR2_Rej            ;
KVO 12                ;And ;01 47 56.0 +44 49 12      ;Op   ;***   ;   63.00;       ;        ;        ;        ; GDR2_Rej            ;
MWSC 5571             ;And ;01 51 44.9 +41 30 00      ;Op   ;***   ;   18.60;       ;        ;        ;        ; GDR2_Rej            ;
Harrington 14         ;And ;01 52 30.0 +37 30 00      ;Op   ;***   ;   95.00;       ;        ;        ;        ; GDR2_Rej            ;Golf Putter, Ramakers 1
HD 12741 Grp          ;And ;02 06 30.0 +46 55 54      ;Op   ;***   ;   15.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 616               ;And ;02 13 33.6 +44 44 24      ;Op   ;***   ;   13.80;       ;        ;        ;        ; GDR2_Rej            ;
HD 13477 Grp          ;And ;02 14 43.0 +49 19 00      ;Op   ;***   ;   40.00;       ;        ;        ;        ; GDR2_Rej            ;
Foldvari 111          ;And ;02 15 28.0 +41 07 06      ;Op   ;***   ;    4.00;       ;        ;        ;        ; GDR2_Rej            ;
Patchick 1            ;And ;02 17 40.0 +50 59 30      ;Op   ;***   ;    5.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 626               ;And ;02 22 32.0 +42 20 57      ;Op   ;***   ;    0.80;       ;        ;        ;        ; GDR2_Rej            ;
Lederman 1            ;And ;02 27 18.0 +42 18 30      ;Op   ;***   ;   14.00;       ;        ;        ;        ; GDR2_Rej            ;
Renou 17              ;And ;02 27 36.0 +49 41 56      ;Op   ;***   ;    4.00;       ;        ;        ;        ; GDR2_Rej            ;
Zannin 3              ;And ;02 29 30.0 +42 45 00      ;Op   ;***   ;   12.00;       ;        ;        ;        ; GDR2_Rej            ;
Zannin 2              ;And ;02 30 00.0 +43 10 00      ;Op   ;***   ;   10.00;       ;        ;        ;        ; GDR2_Rej            ;
TYC 2335-1908 Grp     ;And ;02 32 35.0 +37 26 36      ;Op   ;***   ;    8.00;       ;        ;        ;        ; GDR2_Rej            ;Karhula 4, Saloranta J0232+3726
Alessi J0234+4002     ;And ;02 34 04.0 +40 02 30      ;Op   ;***   ;   90.00;       ;        ;        ;        ; GDR2_Rej            ;
SAO 38187 Grp         ;And ;02 38 10.0 +48 39 12      ;Op   ;***   ;   14.00;       ;        ;        ;        ; GDR2_Rej            ;
HD 217905 Grp         ;And ;23 03 29.0 +41 22 42      ;Op   ;***   ;   15.00;       ;        ;        ;        ; GDR2_Rej            ;Saloranta J2303+4122
FSR 371               ;And ;23 05 15.4 +48 14 53      ;Op   ;***   ;   19.80;       ;        ;        ;        ; GDR2_Rej            ;
ASCC 126              ;And ;23 05 49.2 +51 04 12      ;Op   ;OC?   ;   33.60;    772;        ;        ;        ; GDR2_Rej            ;Theia 1165
Patchick 111          ;And ;23 08 48.0 +52 24 56      ;Op   ;***   ;    2.60;       ;        ;        ;        ; GDR2_Rej            ;
HD 218915 Grp         ;And ;23 11 12.0 +52 57 06      ;Op   ;***   ;   13.00;       ;        ;        ;        ; GDR2_Rej            ;
Santa 207             ;And ;23 13 17.0 +50 52 25      ;Op   ;***   ;    3.30;       ;        ;        ;        ; GDR2_Rej            ;
Alessi 89             ;And ;23 13 20.0 +53 09 54      ;Op   ;***   ;   28.00;       ;        ;        ;        ; GDR2_Rej            ;
HD 219428 Grp         ;And ;23 15 39.0 +52 27 42      ;Op   ;***   ;   20.00;       ;        ;        ;        ; GDR2_Rej            ;
Santa 208             ;And ;23 16 47.0 +50 49 00      ;Op   ;***   ;   25.00;       ;        ;        ;        ; GDR2_Rej            ;
SAO 52877 Grp         ;And ;23 17 34.0 +48 37 48      ;Op   ;***   ;   21.00;       ;        ;        ;        ; GDR2_Rej            ;TC 2317+4837
Santa 209             ;And ;23 18 53.0 +47 22 18      ;Op   ;***   ;   10.00;       ;        ;        ;        ; GDR2_Rej            ;
GSC 3640-1170 Grp     ;And ;23 20 45.0 +48 12 18      ;Op   ;***   ;   19.00;       ;        ;        ;        ; GDR2_Rej            ;TC 2320+4812
Patchick 85           ;And ;23 21 03.0 +48 36 30      ;Op   ;***   ;    4.50;       ;        ;        ;        ; GDR2_Rej            ;
FSR 370               ;And ;23 21 35.3 +40 53 42      ;Op   ;***   ;   16.80;       ;        ;        ;        ; GDR2_Rej            ;
Kernya 70             ;And ;23 24 30.0 +40 52 59      ;Op   ;***   ;    3.50;       ;        ;        ;        ; GDR2_Rej            ;
Salzgeber 1           ;And ;23 27 00.0 +42 12 19      ;Op   ;***   ;   55.00;       ;        ;        ;        ; GDR2_Rej            ;
Prestgard 71          ;And ;23 27 25.0 +49 12 25      ;Op   ;***   ;    2.00;       ;        ;        ;        ; GDR2_Rej            ;
NGC 7686              ;And ;23 29 41.3 +49 10 12      ;Op   ;***   ;   13.20;       ;        ;        ;        ; GDR2_Rej            ;Collinder 456
Patchick 86           ;And ;23 37 52.0 +46 19 10      ;Op   ;***   ;    1.50;       ;        ;        ;        ; GDR2_Rej            ;
FSR 403               ;And ;23 38 06.0 +45 06 29      ;Op   ;***   ;    9.60;       ;        ;        ;        ; GDR2_Rej            ;
Alessi J2338+5019     ;And ;23 38 17.0 +50 18 39      ;Op   ;***   ;   48.00;       ;        ;        ;        ; GDR2_Rej            ;
HD 222229 Grp         ;And ;23 38 24.0 +44 41 30      ;Op   ;***   ;    3.70;       ;        ;        ;        ; GDR2_Rej            ;
Frederick_s Glory     ;And ;23 40 00.0 +45 00 00      ;Op   ;***   ;  210.00;       ;        ;        ;        ; GDR2_Rej            ;
Santa 210             ;And ;23 42 05.0 +42 26 32      ;Op   ;***   ;    6.00;       ;        ;        ;        ; GDR2_Rej            ;
HD 223583 Grp         ;And ;23 50 35.0 +41 48 48      ;Op   ;***   ;   12.00;       ;        ;        ;        ; GDR2_Rej            ;Alessi J2350+4148, Saloranta J2350+4148
MWSC 5828             ;And ;23 50 42.0 +41 25 41      ;Op   ;***   ;   21.60;       ;        ;        ;        ; GDR2_Rej            ;
Patchick 44           ;And ;23 53 22.0 +37 03 50      ;Op   ;***   ;    1.80;       ;        ;        ;        ; GDR2_Rej            ;
HD 224602 Grp         ;And ;23 59 05.0 +41 05 30      ;Op   ;***   ;   38.00;       ;        ;        ;        ; GDR2_Rej            ;
Alessi J0927-3810     ;Ant ;09 27 30.0 -38 10 42      ;Op   ;***   ;   27.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1417              ;Ant ;09 32 22.1 -35 58 48      ;Op   ;***   ;   13.80;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1391              ;Ant ;09 32 50.9 -28 50 53      ;Op   ;***   ;   31.20;       ;        ;        ;        ; GDR2_Rej            ;
Juchert 8             ;Ant ;09 33 45.0 -40 02 27      ;Op   ;***   ;    1.10;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1431              ;Ant ;09 35 07.7 -36 33 47      ;Op   ;***   ;   19.20;       ;        ;        ;        ; GDR2_Rej            ;
ESO 315-14            ;Ant ;09 35 25.0 -39 32 00      ;Op   ;***   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1405              ;Ant ;09 37 51.6 -31 36 54      ;Op   ;***   ;   20.40;       ;        ;        ;        ; GDR2_Rej            ;
Alessi J0941-4018     ;Ant ;09 41 37.0 -40 18 28      ;Op   ;***   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
Prestgard 70          ;Ant ;09 42 23.0 -39 38 47      ;Op   ;***   ;    2.50;       ;        ;        ;        ; GDR2_Rej            ;
HD 84787 Grp          ;Ant ;09 47 19.0 -28 47 12      ;Op   ;***   ;   45.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1451              ;Ant ;09 47 36.5 -37 03 18      ;Op   ;***   ;   13.80;       ;        ;        ;        ; GDR2_Rej            ;
ESO 435-9             ;Ant ;09 55 28.1 -28 57 54      ;Op   ;***   ;   24.60;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1413              ;Ant ;09 56 38.4 -29 26 42      ;Op   ;***   ;   12.00;       ;        ;        ;        ; GDR2_Rej            ;
ESO 435-17            ;Ant ;09 58 46.1 -30 54 29      ;Op   ;***   ;   12.00;       ;        ;        ;        ; GDR2_Rej            ;
Alessi 228            ;Ant ;10 01 40.0 -32 13 16      ;Op   ;***   ;   18.00;       ;        ;        ;        ; GDR2_Rej            ;
ESO 435-33            ;Ant ;10 03 54.0 -32 03 00      ;Op   ;***   ;    8.40;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1459              ;Ant ;10 05 34.8 -35 21 54      ;Op   ;***   ;   13.80;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1465              ;Ant ;10 05 47.3 -36 54 36      ;Op   ;***   ;   18.60;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1449              ;Ant ;10 07 03.6 -31 59 42      ;Op   ;***   ;   20.40;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1467              ;Ant ;10 07 44.4 -36 29 35      ;Op   ;***   ;   23.40;       ;        ;        ;        ; GDR2_Rej            ;
Alessi J1008-3000     ;Ant ;10 08 15.0 -29 59 48      ;Op   ;***   ;   98.00;       ;        ;        ;        ; GDR2_Rej            ;
ESO 435-48            ;Ant ;10 09 32.4 -28 21 29      ;Op   ;***   ;   18.60;       ;        ;        ;        ; GDR2_Rej            ;
Streicher 8           ;Ant ;10 13 52.0 -40 19 48      ;Op   ;***   ;    3.10;       ;        ;        ;        ; GDR2_Rej            ;
ESO 436-2             ;Ant ;10 13 57.4 -29 10 05      ;Op   ;***   ;   18.60;       ;        ;        ;        ; GDR2_Rej            ;
Alessi 4              ;Ant ;10 16 08.0 -34 15 15      ;Op   ;***   ;   60.00;       ;        ;        ;        ; GDR2_Rej            ;
O_Neal 10             ;Ant ;10 21 33.0 -32 44 00      ;Op   ;***   ;   51.00;       ;        ;        ;        ; GDR2_Rej            ;
Streicher 11          ;Ant ;10 24 03.0 -31 28 54      ;Op   ;***   ;   12.00;       ;        ;        ;        ; GDR2_Rej            ;
Riddle 17             ;Ant ;10 28 32.0 -36 35 22      ;Op   ;***   ;    1.00;       ;        ;        ;        ; GDR2_Rej            ;
Streicher 12          ;Ant ;10 31 45.0 -33 06 00      ;Op   ;***   ;    5.50;       ;        ;        ;        ; GDR2_Rej            ;
Alessi J1058-3725     ;Ant ;10 58 23.0 -37 25 00      ;Op   ;***   ;   11.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1658              ;Aps ;13 55 02.9 -70 45 00      ;Op   ;***   ;   17.60;       ;        ;        ;        ; GDR2_Rej            ;
ESO 21-6              ;Aps ;14 15 51.8 -78 30 54      ;Op   ;***   ;   19.80;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1667              ;Aps ;14 21 41.3 -72 05 06      ;Op   ;***   ;   18.60;       ;        ;        ;        ; GDR2_Rej            ;
Streicher 14          ;Aps ;14 57 10.0 -71 20 54      ;Op   ;***   ;    9.00;       ;        ;        ;        ; GDR2_Rej            ;
MWSC 5688             ;Aps ;15 25 58.8 -80 07 48      ;Op   ;***   ;   12.60;       ;        ;        ;        ; GDR2_Rej            ;
Alessi 130            ;Aps ;15 59 41.0 -82 27 03      ;Op   ;***   ;   60.00;       ;        ;        ;        ; GDR2_Rej            ;Alessi J1559-8227, Kernya 66
Streicher 13          ;Aps ;16 07 25.0 -77 20 48      ;Op   ;***   ;   20.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1675              ;Aps ;16 10 28.8 -77 39 36      ;Op   ;***   ;   16.20;       ;        ;        ;        ; GDR2_Rej            ;
Alessi J1623-7723     ;Aps ;16 23 55.0 -77 23 50      ;Op   ;***   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
Streicher J1638-71    ;Aps ;16 38 36.0 -71 38 48      ;Op   ;***   ;   14.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1692              ;Aps ;16 45 13.9 -72 49 52      ;Op   ;***   ;   13.80;       ;        ;        ;        ; GDR2_Rej            ;
ESO 43-13             ;Aps ;17 04 44.4 -74 21 00      ;Op   ;***   ;   16.80;       ;        ;        ;        ; GDR2_Rej            ;
Alessi J1711-7838     ;Aps ;17 11 25.0 -78 38 08      ;Op   ;***   ;    4.20;       ;        ;        ;        ; GDR2_Rej            ;
Cseh 29               ;Aps ;17 21 08.0 -70 05 33      ;Op   ;***   ;   20.00;       ;        ;        ;        ; GDR2_Rej            ;
MWSC 5691             ;Aps ;17 26 09.6 -70 44 06      ;Op   ;***   ;   12.00;       ;        ;        ;        ; GDR2_Rej            ;
Cseh 27               ;Aps ;17 30 05.0 -71 06 44      ;Op   ;***   ;    5.00;       ;        ;        ;        ; GDR2_Rej            ;
HD 158606 Grp         ;Aps ;17 41 15.0 -74 56 30      ;Op   ;***   ;   43.00;       ;        ;        ;        ; GDR2_Rej            ;
Cseh 26               ;Aps ;17 43 41.0 -71 15 39      ;Op   ;***   ;   10.00;       ;        ;        ;        ; GDR2_Rej            ;
Cseh 28               ;Aps ;17 46 26.0 -70 21 25      ;Op   ;***   ;    5.50;       ;        ;        ;        ; GDR2_Rej            ;
2MASS J1842-0330      ;Aql ;18 42 19.9 -03 30 09      ;IR   ;OC?   ;    1.00;   3430;        ;        ;        ; GDR2_Rej            ;
FoF 2170              ;Aql ;18 42 25.0 -02 20 03      ;Op   ;OC?   ;   44.16;   2198;        ;        ;        ; GDR2_Rej            ;FoF 2164, FoF 2166, FoF 2171
Bica 77               ;Aql ;18 42 51.5 -03 43 57      ;IR   ;OC?   ;    1.40;   3400;        ;        ;        ; GDR2_Rej            ;
Ryu 901               ;Aql ;18 43 01.3 -03 34 33      ;IR   ;EC    ;    1.60;   7400;        ;        ;        ; GDR2_Rej            ;
LMR 64                ;Aql ;18 43 01.8 -03 47 28      ;IR   ;SFR   ;   13.50;   8700;        ;        ;        ; GDR2_Rej            ;
SUH 16                ;Aql ;18 43 03.2 -03 41 46      ;IR   ;EC    ;    0.60;   9600;        ;        ;        ; GDR2_Rej            ;
FoF 1669              ;Aql ;18 43 14.8 -03 35 59      ;Op   ;OC?   ;   16.20;   2494;        ;        ;        ; GDR2_Rej            ;FoF 1654, FoF 1659, FoF 456
Aladin J1843-0351     ;Aql ;18 43 15.8 -03 51 51      ;Op   ;OC?   ;    2.60;   3000;        ;        ;        ; GDR2_Rej            ;
Russeil 59            ;Aql ;18 43 29.1 -03 50 19      ;IR   ;EC    ;    2.00;   6000;        ;        ;        ; GDR2_Rej            ;
FoF 2164              ;Aql ;18 43 46.2 -02 56 43      ;Op   ;OC?   ;   47.40;   2237;        ;        ;        ; GDR2_Rej            ;FoF 2166, FoF 2170, FoF 2171
Urq G28.98+0.07       ;Aql ;18 43 58.5 -03 28 42      ;IR   ;EC    ;    1.20;  10400;        ;        ;        ; GDR2_Rej            ;
BSP 4                 ;Aql ;18 44 27.5 -03 20 49      ;IR   ;SFR   ;   11.70;   8970;        ;        ;        ; GDR2_Rej            ;
TC 1844+0011          ;Aql ;18 44 29.5 +00 11 40      ;Op   ;***   ;    2.20;       ;        ;        ;        ; GDR2_Rej            ;
Iss 516               ;Aql ;18 44 37.0 -02 49 03      ;Op   ;***   ;    2.10;       ;        ;        ;        ; GDR2_Rej            ;
Bica 78               ;Aql ;18 44 40.0 -03 11 21      ;Op   ;RSG?  ;    2.00;   3200;        ;        ;        ; GDR2_Rej            ;
Spitzer J1844-0345    ;Aql ;18 44 51.2 -03 45 40      ;IR   ;EC    ;    1.20;   4760;        ;        ;        ; GDR2_Rej            ;
PanSTARRS J1844-0343  ;Aql ;18 44 51.6 -03 43 56      ;Op   ;OC?   ;    1.40;   2700;        ;        ;        ; GDR2_Rej            ;
Iss 517               ;Aql ;18 44 54.6 -02 29 01      ;Op   ;***   ;    3.50;       ;        ;        ;        ; GDR2_Rej            ;
Alicante 10           ;Aql ;18 45 12.0 -03 42 05      ;IR   ;OC    ;    6.00;   5100;        ;        ;        ; GDR2_Rej            ;
Ryu 912               ;Aql ;18 45 18.0 -02 48 12      ;Op   ;OC    ;    1.30;   4300;        ;        ;        ; GDR2_Rej            ;
RM 15                 ;Aql ;18 45 20.5 -02 00 04      ;IR   ;OB    ;    3.00;   7300;        ;        ;        ; GDR2_Rej            ;LMR 69
RSGC 3 Assoc          ;Aql ;18 45 24.0 -03 23 00      ;IR   ;OB    ;   45.00;   7180;        ;        ;        ; GDR2_Rej            ;
PanSTARRS J1845-0200  ;Aql ;18 45 27.5 -02 00 37      ;Op   ;OC    ;    2.60;   2460;        ;        ;        ; GDR2_Rej            ;
BSP 6                 ;Aql ;18 45 44.0 -02 32 12      ;IR   ;EC    ;    1.80;   7400;        ;        ;        ; GDR2_Rej            ;Ryu 916
BSP 3                 ;Aql ;18 45 44.6 -01 29 14      ;IR   ;SFR   ;    4.90;  12900;        ;        ;        ; GDR2_Rej            ;
Spitzer J1845-0230    ;Aql ;18 45 51.7 -02 30 16      ;IR   ;EC    ;    1.00;   5820;        ;        ;        ; GDR2_Rej            ;
PanSTARRS J1845-0235 B;Aql ;18 45 54.0 -02 35 54      ;Op   ;OC?   ;    2.30;   2850;        ;        ;        ; GDR2_Rej            ;
Iss 518               ;Aql ;18 45 54.4 -02 19 57      ;Op   ;***   ;    3.40;       ;        ;        ;        ; GDR2_Rej            ;
FSR 87                ;Aql ;18 46 00.0 -03 37 15      ;Op   ;***   ;   10.00;       ;        ;        ;        ; GDR2_Rej            ;
BSP 5                 ;Aql ;18 46 05.9 -02 41 13      ;IR   ;SFR   ;   15.80;   5950;        ;        ;        ; GDR2_Rej            ;RM 14, Ryu 913
Spitzer J1846-0245    ;Aql ;18 46 11.0 -02 45 14      ;IR   ;OC    ;    1.60;   4900;        ;        ;        ; GDR2_Rej            ;
Ryu 915               ;Aql ;18 46 16.2 -02 36 34      ;IR   ;EC    ;    1.30;   8900;        ;        ;        ; GDR2_Rej            ;IRAS 18436-0239
Ryu 921               ;Aql ;18 46 24.3 -02 15 24      ;IR   ;EC    ;    1.00;   5200;        ;        ;        ; GDR2_Rej            ;IRAS 18437-0218
Urq G30.22+0.27       ;Aql ;18 46 24.5 -02 24 00      ;Op   ;YAs   ;  144.00;    647;        ;        ;        ; GDR2_Rej            ;Theia 12
LMR 67                ;Aql ;18 46 36.7 -03 43 46      ;IR   ;SFR   ;    8.00;  11500;        ;        ;        ; GDR2_Rej            ;
UCEC 6                ;Aql ;18 46 37.0 -01 45 21      ;IR   ;EC    ;    0.70;   6600;        ;        ;        ; GDR2_Rej            ;IRAS 18440-0148
SFC 17                ;Aql ;18 46 37.0 -01 59 25      ;IR   ;OB    ;   48.00;   6300;        ;        ;        ; GDR2_Rej            ;RMM 17, RM 17, LMR 72, BSP 10, Russeil 62
Mercer 11             ;Aql ;18 46 41.0 -02 44 07      ;IR   ;EC    ;    2.30;   3830;        ;        ;        ; GDR2_Rej            ;GLIMPSE 11
Iss 519               ;Aql ;18 46 44.4 +01 11 07      ;Op   ;***   ;    4.60;       ;        ;        ;        ; GDR2_Rej            ;
Kernya 67             ;Aql ;18 46 54.0 -01 14 33      ;Op   ;***   ;    8.00;       ;        ;        ;        ; GDR2_Rej            ;
Iss 438               ;Aql ;18 46 56.6 +11 23 08      ;Op   ;***   ;    2.90;       ;        ;        ;        ; GDR2_Rej            ;
BSP 1                 ;Aql ;18 46 59.1 -02 06 26      ;IR   ;SFR   ;    8.40;  11600;        ;        ;        ; GDR2_Rej            ;
RM 16                 ;Aql ;18 47 00.0 -02 07 06      ;IR   ;OB    ;    1.00;  11900;        ;        ;        ; GDR2_Rej            ;LMR 70
LMR 68                ;Aql ;18 47 01.9 -02 40 54      ;IR   ;SFR   ;   24.20;   8500;        ;        ;        ; GDR2_Rej            ;
PanSTARRS J1847-0335  ;Aql ;18 47 06.6 -03 35 48      ;Op   ;OC?   ;    2.80;   2080;        ;        ;        ; GDR2_Rej            ;
PanSTARRS J1847-0204  ;Aql ;18 47 09.5 -02 04 02      ;Op   ;OC?   ;    1.00;   3490;        ;        ;        ; GDR2_Rej            ;
SUH 20                ;Aql ;18 47 10.3 -02 19 13      ;IR   ;EC    ;    1.50;   6200;        ;        ;        ; GDR2_Rej            ;IRAS 18445-0222, Mol 71
Ryu 920               ;Aql ;18 47 25.4 -02 24 52      ;IR   ;EC    ;    3.20;   7300;        ;        ;        ; GDR2_Rej            ;BSP 7
Iss 439               ;Aql ;18 47 29.0 +09 22 10      ;Op   ;***   ;    3.40;       ;        ;        ;        ; GDR2_Rej            ;
Ryu 911               ;Aql ;18 47 35.9 -03 13 17      ;IR   ;***   ;    1.60;       ;        ;        ;        ; GDR2_Rej            ;
FSR 98                ;Aql ;18 47 36.5 +00 36 25      ;Op   ;***   ;   13.80;       ;        ;        ;        ; GDR2_Rej            ;
BSP 8                 ;Aql ;18 47 39.6 -02 19 55      ;IR   ;SFR   ;    6.10;   7960;        ;        ;        ; GDR2_Rej            ;
Ryu 922               ;Aql ;18 47 40.5 -02 16 18      ;IR   ;OC?   ;    2.20;       ;        ;        ;        ; GDR2_Rej            ;
Froebrich 6           ;Aql ;18 47 48.0 -01 42 00      ;IR   ;RSG   ;    6.00;   6000;        ;        ;        ; GDR2_Rej            ;
Mercer 12             ;Aql ;18 47 49.0 -01 56 31      ;IR   ;EC    ;    1.60;   6470;        ;        ;        ; GDR2_Rej            ;GLIMPSE 12
BSP 9                 ;Aql ;18 48 01.4 -01 53 47      ;IR   ;SFR   ;    7.30;   7650;        ;        ;        ; GDR2_Rej            ;
G3CC 60               ;Aql ;18 48 02.1 -01 33 26      ;IR   ;EC    ;    1.10;  11420;        ;        ;        ; GDR2_Rej            ;
BSP 2                 ;Aql ;18 48 04.4 -01 56 07      ;IR   ;SFR   ;    6.60;  11200;        ;        ;        ; GDR2_Rej            ;
Russeil 65            ;Aql ;18 48 06.0 -01 38 00      ;IR   ;SFR   ;   20.00;  12600;        ;        ;        ; GDR2_Rej            ;
BSP 11                ;Aql ;18 48 18.6 -02 06 58      ;IR   ;SFR   ;    5.30;   5520;        ;        ;        ; GDR2_Rej            ;
SUH 19                ;Aql ;18 48 40.0 -03 03 50      ;IR   ;EC    ;    3.30;   5100;        ;        ;        ; GDR2_Rej            ;
FSR 89                ;Aql ;18 48 43.9 -03 31 08      ;Op   ;***   ;   15.00;       ;        ;        ;        ; GDR2_Rej            ;
Ryu 269               ;Aql ;18 48 46.5 -02 28 17      ;IR   ;***   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
Ryu 914               ;Aql ;18 48 52.0 -03 01 09      ;IR   ;EC    ;    3.40;   5250;        ;        ;        ; GDR2_Rej            ;
